osm_id,surface,tracktype,highway,name
26699887,fine_gravel,,residential,
26699893,fine_gravel,,residential,
26699896,fine_gravel,,service,
26699911,fine_gravel,,service,
26700042,gravel,,residential,
26700043,gravel,,residential,
26700091,gravel,,unclassified,
26700097,fine_gravel,,service,
26700137,fine_gravel,,unclassified,
26700363,,grade2,service,
26700496,fine_gravel,,residential,
26704038,,grade2,service,
26704055,,grade2,service,
26704062,,grade2,service,
26704068,,grade2,service,
26704076,,grade2,service,
26704080,,grade2,service,
26704094,,grade2,service,
26704098,,grade2,service,
26704118,,grade2,service,
26704141,,grade2,service,
26704161,,grade2,service,
26704169,,grade2,service,
26704181,,grade2,service,
26704225,fine_gravel,,residential,
26704226,fine_gravel,,service,
26704237,fine_gravel,,service,
26704245,fine_gravel,,service,
26704265,,grade2,service,
26708373,,grade2,service,
26708392,fine_gravel,,residential,
26708402,compacted,grade1,unclassified,
26708794,unpaved,,residential,
26708860,compacted,,residential,
26708868,fine_gravel,,residential,
26708877,fine_gravel,,residential,
26708887,fine_gravel,,residential,
26708913,fine_gravel,,unclassified,
26708918,,grade3,track,
26709000,fine_gravel,,residential,
26709004,fine_gravel,,residential,
26709132,gravel,,unclassified,水源地線
26709550,fine_gravel,grade2,unclassified,
26709699,,grade2,service,
26709751,fine_gravel,,service,
26709775,fine_gravel,,service,
26711312,fine_gravel,,service,
26811313,rock,,path,
26951518,gravel,grade1,track,
26951521,unpaved,,residential,
26951523,unpaved,,residential,
26951524,unpaved,,residential,
26951527,unpaved,,footway,
26966767,gravel,grade1,track,
26988973,unpaved,,footway,
27006121,ground,,path,
27058368,gravel,,residential,
27084670,,grade3,track,
27197925,unpaved,,footway,
27197927,unpaved,,service,
27197928,unpaved,,footway,
27197929,unpaved,,footway,
27274914,unpaved,,residential,
27274917,unpaved,,residential,
27274982,unpaved,,service,
27303170,wood,,service,
27356867,,grade3,track,
27356871,,grade3,track,
27371944,,grade3,track,
27372412,unpaved,,footway,
27372413,unpaved,,footway,
27372485,,grade3,track,
27379481,gravel,,track,
27379482,gravel,,track,
27400618,unpaved,,track,
27423876,unpaved,,footway,
27423914,unpaved,,footway,
27423920,unpaved,,cycleway,
27423929,unpaved,,footway,
27577628,gravel,grade2,footway,
27590428,paved,grade2,path,
27601130,unpaved,,path,
27684175,unpaved,,path,
27719661,unpaved,,footway,
27719666,wood,,footway,
27719667,wood,,footway,八ツ橋
27719668,wood,,footway,
27719669,unpaved,,footway,
27719793,wood,,footway,池月橋
27719794,unpaved,,footway,
27757927,unpaved,,path,槙尾山登山ルート
27776594,unpaved,,footway,
27776630,unpaved,,footway,
27795958,unpaved,,footway,
27796546,gravel,,footway,
27817601,fine_gravel,,footway,shinjuku-gyoen promenade
27817633,fine_gravel,,footway,
27817701,fine_gravel,,footway,
27817720,fine_gravel,,footway,
27817730,fine_gravel,,footway,
27817747,fine_gravel,,footway,
27817781,fine_gravel,,footway,
27817936,compacted,,footway,
27817973,fine_gravel,,footway,
27818175,fine_gravel,,footway,
27829752,rock,,steps,精進坂
27904481,fine_gravel,,residential,木津屋橋通
28013463,wood,,steps,
28138645,unpaved,,residential,
28138660,unpaved,,service,
28138674,unpaved,,service,
28145530,stone,,footway,
28147257,fine_gravel,,footway,
28173654,compacted,,path,備前丸
28174980,compacted,,track,33観音
28174984,compacted,,track,
28174988,compacted,,track,
28191144,unpaved,,service,
28191145,unpaved,,residential,
28191146,unpaved,,service,
28191147,unpaved,,footway,
28191152,unpaved,,footway,さくらの散歩道
28242113,unpaved,,path,
28275412,,grade2,path,
28302395,sand,,pedestrian,
28361283,gravel,,unclassified,剣山スーパー林道
28384250,compacted,,path,
28399593,unpaved,,footway,
28407389,,grade2,footway,
28407459,,grade2,footway,
28407664,,grade4,track,
28407665,,grade4,track,
28407667,,grade2,footway,
28415261,fine_gravel,,path,
28444329,sand,,footway,
28479219,gravel,,footway,
28494713,,grade2,footway,
28494717,asphalt,grade2,footway,
28494721,,grade2,footway,
28552258,unpaved,,steps,
28552275,unpaved,,path,
28552284,unpaved,,path,
28574029,wood,,footway,
28686737,,grade3,track,
28781153,grass,,footway,
28888620,unpaved,grade2,track,
28919952,grass,,path,
29340778,unpaved,,footway,
29496703,fine_gravel,,unclassified,町道東大沼5号線
29496731,fine_gravel,,unclassified,
29544058,unpaved,,path,
29544080,unpaved,,path,
29545635,fine_gravel,,unclassified,
29546061,,grade3,track,
30017678,compacted,,path,
30129962,gravel,grade2,service,
30148615,unpaved,,track,
30157266,unpaved,,service,
30157267,unpaved,,service,
30157268,unpaved,,service,
30181237,rock,,steps,
30826692,gravel,,service,
31101708,dirt,,footway,
31101709,wood,,path,
31534595,unpaved,,path,
31667930,unpaved,,unclassified,
31857963,wood,,unclassified,多和目橋
31904371,unpaved,,residential,
31957710,unpaved,,service,
32050787,unpaved,,steps,
32132649,fine_gravel,,footway,
32199331,gravel,,path,
32392775,unpaved,,footway,
32406210,unpaved,,unclassified,
32423528,,grade2,track,
32427295,unpaved,,footway,
32433197,,grade3,track,
32433198,,grade3,track,
32433199,,grade3,track,
32433200,,grade2,track,
32591097,unpaved,,unclassified,
32619905,gravel,,track,
32663822,,grade2,track,
32804655,unpaved,,track,
32804917,unpaved,,track,
32841792,,grade3,track,
32841797,,grade3,track,
32841802,,grade3,track,
32845211,,grade3,track,
32845214,,grade4,track,
32902831,ground,grade2,track,
32902832,ground,grade2,track,
32903967,dirt,,footway,
33041303,sand,,footway,
33041304,sand,,footway,
33067061,unpaved,,unclassified,
33067067,unpaved,,track,
33071100,,grade2,track,
33081047,,grade2,track,
33119347,unpaved,grade4,primary,志度山川線
33121419,,grade2,footway,
33121421,,grade2,track,
33197772,fine_gravel,,footway,
33198131,sand,,footway,
33198133,sand,,footway,
33279072,unpaved,grade2,footway,
33682463,dirt,,track,
33839637,,grade2,track,
33992752,,grade3,track,
34040041,未舗装c,,secondary,国友曽根線
34089465,unpaved,,track,
34124013,dirt,,footway,箱根旧街道杉並木 Ancient Cedar Avenue
34124236,gravel,,path,
34124784,gravel,,footway,
34198746,unpaved,,unclassified,
34205037,,grade3,track,
34228464,unpaved,,residential,市道野一色市場線
34229495,unpaved,,path,
34229502,unpaved,,residential,
34400664,gravel,,footway,
34442997,unpaved,,path,
34471437,unpaved,,unclassified,
34471445,unpaved,,path,
34471446,unpaved,,service,
34471448,unpaved,,path,
34580709,,grade2,track,
34582350,wood,,footway,錦帯橋
34588560,ground,,path,
34597053,,grade2,track,
34597535,,grade4,track,
34618340,unpaved,,footway,
34624926,,grade2,track,
34627578,unpaved,,residential,
34754037,unpaved,,unclassified,
34908529,fine_gravel,,path,
34908530,compacted,,path,
34926851,compacted,,path,
34926854,compacted,,path,
34926855,wood,,path,
34941999,,grade3,track,林道本宮山線
34943280,unpaved,,unclassified,
34943361,unpaved,,track,
34960665,sand,,track,千里浜なぎさドライブウェイ
35032594,,grade2,track,
35067127,unpaved,,service,
35141024,unpaved,,steps,
35185487,unpaved,,path,
35185492,unpaved,,path,
35185506,unpaved,,path,
35200610,,grade3,track,林道奥水線
35209882,,grade3,track,
35210000,,grade4,track,
35210258,,grade5,track,
35261670,gravel,,footway,
35261671,gravel,,footway,
35261772,unpaved,,service,
35305022,unpaved,,unclassified,
35310242,,grade2,track,
35310490,,grade4,track,林道舟塚線
35311949,,grade3,track,林道百古里線
35371979,wood,,secondary,八幡城陽線
35423325,,grade3,track,
35423333,,grade3,track,
35424588,,grade5,track,
35424590,pebblestone,,path,
35459498,gravel,grade2,track,
35459501,pebblestone,grade1,track,
35464290,,grade2,track,
35464291,,grade2,track,
35464297,,grade2,track,
35466295,gravel,grade1,track,
35475497,,grade4,track,
35486328,,grade2,track,
35486337,gravel,grade2,track,
35486343,,grade2,track,
35497046,unpaved,,path,
35497055,unpaved,,path,
35497058,unpaved,grade2,track,
35570146,,grade3,secondary,横川磐田線
35571675,unpaved,,track,
35575958,,grade3,track,
35583050,gravel,,footway,
35583089,gravel,,footway,
35865438,gravel,,track,
35865834,gravel,,track,
35892995,gravel,,cycleway,
35900158,,grade3,track,
35926837,unpaved,,unclassified,
35926844,unpaved,grade2,track,
35926846,unpaved,grade2,track,
35927513,gravel,,footway,
35929324,unpaved,,footway,
35936569,,grade2,track,
35948813,gravel,,footway,
35983481,wood,,pedestrian,汽車道
35983482,wood,,footway,汽車道
36073748,wood,,pedestrian,汽車道
36073754,wood,,footway,
36073755,wood,,steps,
36330894,fine_gravel,,service,椿坂
36464160,unpaved,,track,
36471364,unpaved,grade1,track,
36471365,unpaved,,unclassified,
36686048,,grade2,track,
36686936,,grade3,track,
36697250,unpaved,,unclassified,
36697251,unpaved,,track,
36697252,unpaved,,track,
36697253,unpaved,,unclassified,
36697283,unpaved,,residential,
36697294,unpaved,,path,
36697297,unpaved,,track,
36915996,gravel,,path,
36929176,ground,grade2,track,
36933107,unpaved,,unclassified,
36959129,unpaved,,path,
36959924,gravel,,service,
36980738,unpaved,,residential,
36982761,gravel,,service,
36983737,tiles,,footway,川端歩道橋
37235794,unpaved,,path,
37235797,unpaved,,track,
37277480,unpaved,,path,
37323460,asphalt,grade2,footway,
37323461,ground,,footway,
37379779,unpaved,,service,
37379809,ground,,track,
37548725,unpaved,,path,
37554669,compacted,,footway,
37558602,,grade2,track,
37586062,dirt,,path,
37615880,unpaved,,footway,
37785631,unpaved,,unclassified,
37814470,unpaved,,service,
37838969,unpaved,,motorway_link,
37838970,unpaved,,motorway_link,
37866335,unpaved,,path,
37866337,unpaved,,steps,
37866339,unpaved,,path,
37866340,unpaved,,path,
37866343,unpaved,,steps,
37866344,unpaved,,path,
37869106,unpaved,,path,
37869128,unpaved,,service,
37869143,unpaved,,residential,
37869144,unpaved,,service,
37869166,unpaved,,residential,
37891098,unpaved,,residential,
37891108,unpaved,,service,
38057015,dirt,,footway,
38057021,dirt,,track,
38057033,dirt,,footway,
38099534,,grade2,track,林道大尾大日山線
38099817,,grade3,track,
38128979,gravel,,service,
38231292,unpaved,,footway,
38231294,unpaved,,footway,
38231295,unpaved,,footway,
38231302,wood,,footway,あいあい橋
38231303,unpaved,,footway,
38231304,unpaved,,footway,
38231305,unpaved,,footway,
38231306,unpaved,,footway,
38231307,unpaved,,footway,
38231308,unpaved,,footway,
38231310,unpaved,,footway,
38231311,unpaved,,footway,
38231312,unpaved,,footway,
38231313,unpaved,,footway,
38231314,stone,,steps,
38231315,unpaved,,footway,
38231316,unpaved,,footway,
38231317,unpaved,,footway,
38231318,unpaved,,footway,
38260736,unpaved,,track,
38260747,unpaved,,service,
38343797,unpaved,,footway,
38523504,unpaved,,residential,
38605689,unpaved,,footway,
38605718,unpaved,,service,
38605721,unpaved,,residential,
38605738,unpaved,,footway,
38605739,unpaved,,residential,
38608435,pebblestone,,footway,
38608438,dirt,,path,
38608440,compacted,,footway,
38608441,compacted,,footway,
38608443,ground,,footway,
38608450,dirt,,path,
38762205,unpaved,,residential,
38762206,unpaved,,residential,
38762214,unpaved,,residential,
38762218,unpaved,,residential,
38762248,unpaved,grade1,track,
38762249,gravel,grade1,track,
38762254,unpaved,,residential,
38762256,unpaved,,track,
38762258,unpaved,,residential,
38762267,unpaved,,track,
38762268,gravel,,track,
38838313,unpaved,,track,
38883546,gravel,,path,
38883650,gravel,,path,
38884031,wood,,path,亀甲橋
38922112,fine_gravel,,footway,
38922120,fine_gravel,,footway,
38922214,wood,,footway,一の橋
38922220,wood,,footway,
38922225,fine_gravel,,footway,
38922263,wood,,path,二の橋
38922264,fine_gravel,,path,
38922289,compacted,,path,
38922338,fine_gravel,,path,
38922387,fine_gravel,,path,
38925415,dirt,,footway,
38939769,wood,,steps,
38960225,grass,,track,
38960229,gravel,,track,
38960240,gravel,,residential,
38960251,unpaved,,track,
39012841,unpaved,,track,
39019964,,grade3,track,
39021269,,grade2,track,
39023689,,grade3,track,林道大楽地線
39087023,unpaved,,track,
39160394,unpaved,,track,
39160400,unpaved,,track,
39168525,unpaved,,service,
39168547,unpaved,,service,
39339107,fine_gravel,,unclassified,
39370156,gravel,,unclassified,
39373970,fine_gravel,,residential,
39373971,fine_gravel,,service,
39375080,gravel,,service,
39378652,compacted,,unclassified,
39421091,gravel,,track,
39428678,gravel,grade3,track,
39428682,fine_gravel,,service,
39428683,gravel,,unclassified,
39428686,gravel,,unclassified,
39428703,gravel,,unclassified,
39490254,,grade2,service,
39490293,fine_gravel,,residential,
39513628,,grade2,track,
39513750,wood,,footway,
39513751,wood,,footway,
39513752,grass,,footway,
39551101,dirt,,path,須走ルート
39577516,wood,,steps,
39724992,gravel,,path,
39807028,unpaved,,track,
39810457,unpaved,,unclassified,
39814513,,grade3,track,林道マワクナ線
39820805,,grade3,track,
39820986,,grade4,track,林道宮奥線
39865987,gravel,,steps,
40187532,ground,,track,
40187538,unpaved,,track,
40187556,unpaved,,unclassified,
40187904,,grade2,track,
40187923,unpaved,,residential,
40187962,gravel,,unclassified,
40187974,fine_gravel,,service,
40271135,,grade3,track,林道菰張線
40271651,,grade3,track,林道大平線
40272953,,grade3,track,
40812841,,grade3,track,村道秋山川端下線（大弛峠線）
40812908,,grade4,track,林道奥御岳線
41179252,unpaved,,path,
41184750,fine_gravel,,unclassified,
41189175,gravel,,path,
41191263,,grade3,track,
41192347,,grade3,track,町道日進金原線
41232539,unpaved,,residential,
41289006,gravel,,footway,
41293432,unpaved,,unclassified,
41294153,unpaved,,unclassified,
41302101,pebblestone,,footway,
41303867,,grade2,track,
41303878,gravel,,service,
41303879,unpaved,,residential,
41303887,fine_gravel,,service,
41304657,,grade3,track,
41309999,,grade2,service,
41310005,,grade2,path,
41310009,,grade2,service,
41310319,,grade2,track,
41311723,fine_gravel,,unclassified,
41374673,,grade2,track,真駒内川林道
41381241,compacted,,footway,
41393923,gravel,grade2,track,
41411357,gravel,grade2,track,
41509706,sand,,track,
41509720,gravel,,track,
41566966,unpaved,,unclassified,
41571757,dirt,,footway,
41588999,gravel,,cycleway,
41591934,gravel,,track,
41666279,gravel,,track,
41704426,pebblestone,,path,
41704429,pebblestone,,path,
41704442,pebblestone,,path,
41706409,unpaved,,footway,
41706414,compacted,,footway,
41707040,pebblestone,grade2,track,
41892529,gravel,,track,
41895100,dirt,,path,
41895102,dirt,,path,
41895103,dirt,,path,みどりの小道
41903918,dirt,,path,
41903929,dirt,,path,
41908868,dirt,grade1,track,
41909309,gravel,,track,
41911969,gravel,,track,
41939882,compacted,,path,
41951444,unpaved,,footway,
41952382,unpaved,,footway,
41958869,pebblestone,,footway,蛇崩川緑道
41961841,,grade3,track,
41962000,fine_gravel,,footway,
41962012,compacted,,path,
41970689,dirt,,path,
41972256,dirt,,steps,
42070167,sand,,footway,
42084139,,grade4,track,秋葉古道
42117934,gravel,,footway,
42118356,gravel,,cycleway,
42285493,gravel,,track,
42293920,grass,,path,
42293921,gravel,,path,
42293925,grass,,path,
42298337,ground,,path,
42298340,ground,,service,
42299656,,grade2,track,林道滝沢線
42302172,ground,,track,
42309356,,grade3,track,
42341325,ground,,residential,
42341326,ground,,track,
42346834,grass,,track,
42361392,dirt,,track,
42361741,dirt,,track,
42362131,dirt,,track,
42372149,gravel,,track,
42372422,ground,,track,
42372548,grass,,track,
42376212,dirt,,track,
42396002,unpaved,,unclassified,
42402424,dirt,,footway,
42449448,unpaved,,path,
42449461,unpaved,,path,
42489016,unpaved,,path,上道
42489021,unpaved,,path,
42489032,unpaved,,path,
42492310,unpaved,,path,
42492396,unpaved,,path,
42493363,unpaved,,path,滝見尾根
42493367,unpaved,,path,シオカラ谷
42493418,unpaved,,path,
42493422,unpaved,,path,中道
42493430,unpaved,,path,
42493431,unpaved,,path,
42708528,dirt,,footway,
42745310,compacted,,path,
42745317,compacted,,steps,
42745318,compacted,,footway,
42745321,compacted,,path,
42745334,,grade2,track,
42745972,gravel,,track,
42748047,,grade3,track,
42749216,dirt,,footway,
42749558,,grade4,track,
42749685,,grade3,track,
42752552,pebblestone,,footway,氷川神社参道
42771527,gravel,,track,
42803226,gravel,,track,
42803228,ground,,track,
42803341,grass,,track,
42808608,,grade3,track,
42808614,,grade2,track,
42808615,,grade2,track,
42863103,unpaved,grade4,track,
42890886,unpaved,,track,
43021151,gravel,,service,
43051205,unpaved,,path,
43051223,unpaved,,residential,
43051237,unpaved,,residential,
43051245,unpaved,,residential,
43051246,unpaved,,residential,
43051247,unpaved,,residential,
43051248,unpaved,,service,
43051252,unpaved,,service,
43054139,gravel,,footway,
43054637,gravel,,footway,
43054638,gravel,,footway,
43054639,gravel,,footway,
43197008,rubber,,pedestrian,
43364419,unpaved,,path,
43444498,,grade3,track,
43444499,,grade3,track,
43445697,,grade3,track,
43446708,,grade3,track,
43446709,,grade3,track,
43469762,gravel,,path,
43469916,dirt,,footway,
43469948,dirt,,footway,
43482298,,grade2,track,
43528991,pebblestone,,footway,
43546901,,grade3,track,
43549074,dirt,,track,
43757981,unpaved,,path,千歳通り
43845695,wood,,footway,
43880602,unpaved,,footway,
43880603,unpaved,,footway,
43880606,unpaved,,footway,
43900455,woodchips,,footway,
43932744,wood,,pedestrian,
43932745,fine_gravel,,pedestrian,
43932761,compacted,,footway,
43935637,gravel,,service,安楽寺参道
43935641,gravel,,path,
43942045,sand,,steps,
43991384,,grade3,track,
43991481,,grade3,track,林道光南線
43991483,,grade4,track,
43991702,,grade3,track,林道大ブトコロ線
43993123,,grade3,track,
43993615,,grade4,track,
43993616,,grade3,track,
43993618,,grade3,track,林道只来境ノ沢線
43993619,,grade3,track,
43993620,,grade5,track,
43993621,,grade3,track,
43993622,,grade3,track,林道前谷線
43993623,,grade3,track,
43993625,,grade5,track,
43994226,dirt,,footway,
44045253,unpaved,,path,
44045254,unpaved,,path,
44050700,,grade2,pedestrian,
44093171,,grade2,service,
44367493,fine_gravel,,unclassified,
44488251,gravel,,service,
44708385,unpaved,,track,
44716012,unpaved,,track,
44772129,,grade3,track,
44772178,,grade3,track,
44772329,,grade3,track,林道笹合線
44772363,,grade4,track,
44772743,,grade3,track,
44773136,,grade3,track,林道糀峠獅子久保線
44778740,dirt,,track,
44831698,,grade3,track,
44837161,unpaved,grade2,unclassified,
44837170,,grade2,service,
44837186,,grade2,track,
44837636,,grade2,service,
44883377,gravel,,footway,
44884044,dirt,,path,
44888336,asphalt,grade2,cycleway,
45052810,unpaved,,unclassified,
45122469,,grade2,service,
45169758,,grade3,track,林道奥水線
45169759,,grade3,track,
45169791,,grade3,track,
45170023,,grade3,track,
45170570,,grade3,track,
45170951,,grade3,track,
45171159,,grade3,track,林道大沢線
45171453,ground,,path,
45171660,,grade3,track,林道佐久東山線
45171661,,grade3,track,林道東山線
45171666,,grade3,track,
45171668,,grade3,track,林道佐久小川線
45233905,dirt,,path,
45234186,gravel,,footway,
45234365,dirt,,footway,
45234646,unpaved,,footway,
45234649,unpaved,,path,
45242065,gravel,,track,
45242088,gravel,,track,
45242105,gravel,,track,
45548185,unpaved,,track,
45705810,gravel,grade2,track,
45730179,,grade3,track,
45730411,,grade3,track,林道東嶺線
45730412,,grade3,unclassified,林道米沢線
45730758,,grade3,track,林道糀峠獅子久保線
45731155,compacted,,service,
45731156,ground,,footway,
45802464,gravel,,footway,
45802465,gravel,,footway,
45802466,gravel,,footway,
45802467,gravel,,footway,
45802469,gravel,,footway,
45802475,gravel,,footway,
45802477,gravel,,footway,
46108444,gravel,,track,
46149365,gravel,,footway,
46152547,gravel,,residential,
46157719,,grade2,track,
46158613,,grade2,track,
46159587,,grade2,track,
46159611,,grade3,track,
46228033,wood,,footway,
46259114,,grade2,track,
46259167,,grade2,track,
46259177,,grade2,track,
46492261,asphalt;paving_stones,,service,
46723904,,grade2,track,
46723922,,grade2,track,
46725666,dirt,,path,
46839484,gravel,,service,
46869058,fine_gravel,,path,
46869060,wood,,steps,
46979213,unpaved,,residential,
47027408,gravel,,footway,
47039706,dirt,,path,
47039969,dirt,,path,
47039977,dirt,,steps,
47039978,dirt,,path,
47039979,dirt,,steps,
47039980,dirt,,path,
47040221,dirt,,path,
47040223,dirt,,path,
47040225,dirt,,path,
47040230,dirt,,path,
47040233,dirt,,path,
47040371,dirt,,path,
47040372,dirt,,path,
47040753,dirt,,path,
47098829,dirt,,path,
47108413,,grade2,track,
47109835,dirt,,footway,
47110528,dirt,,footway,
47110567,dirt,,footway,
47110581,dirt,,footway,
47110591,dirt,,footway,
47115735,dirt,,footway,
47186956,unpaved,,service,
47347873,unpaved,,path,
47347887,ground,,residential,
47360917,gravel,,footway,
47361054,gravel,,footway,
47375469,dirt,,footway,
47376242,gravel,,footway,
47376515,dirt,,footway,
47377165,dirt,,steps,
47416218,gravel,,footway,
47417315,gravel,,footway,
47417747,dirt,,path,
47418078,dirt,,path,
47433653,gravel,,path,
47475808,ground,,footway,
47494346,unpaved,,residential,
47496049,unpaved,grade2,track,
47531425,wood,,path,
47586071,compacted,,residential,
47586072,compacted,,residential,
47896938,gravel,,service,
47995544,dirt,,track,
48038451,gravel,,residential,
48052627,dirt,,path,
48118861,ground,grade2,track,
48118862,ground,,service,
48273778,dirt,,path,
48273965,gravel,,footway,
48274045,dirt,,path,
48274199,gravel,,footway,
48274333,dirt,,path,
48274349,dirt,,path,
48274827,grass,,path,
48274828,dirt,,path,
48274833,grass,,path,
48275143,dirt,,path,
48288356,unpaved,,footway,
48288366,unpaved,,footway,
48288415,unpaved,,path,
48383500,dirt,,path,
48383505,gravel,,path,
48383791,gravel,,footway,
48384917,gravel,,footway,
48402292,ground,,footway,
48439493,,grade2,track,
48439494,,grade2,track,林道西ヶ峰線
48439498,,grade5,track,
48439499,,grade3,track,
48439503,,grade3,track,
48439550,,grade2,track,
48440808,,grade3,track,林道西ヶ峰線
48441888,,grade3,track,林道白山線
48441904,,grade3,track,
48442357,,grade3,track,
48443025,,grade2,track,
48443031,,grade2,track,林道松久保線
48443034,,grade3,track,林道松久保線
48443037,,grade3,track,
48443047,,grade3,track,
48443066,,grade3,track,林道松久保線
48581610,unpaved,,path,
48678363,gravel,,service,
49090232,unpaved,,unclassified,
49090242,unpaved,,track,
49110360,gravel,,path,
49186535,gravel,,track,
49186636,gravel,,track,
49186641,gravel,,track,
49753514,wood,,path,
49773094,gravel,,track,
49776681,gravel,,residential,
49777296,gravel,,footway,
50054546,unpaved,,footway,
50284248,unpaved,,footway,
50292727,dirt,,path,
50331559,pebblestone,,path,
50715724,fine_gravel,,path,ささやきの小径
50894631,gravel,,track,
50896681,dirt,,track,
51318436,fine_gravel,,footway,
51318437,fine_gravel,,footway,
51318438,fine_gravel,,footway,
51318439,fine_gravel,,footway,
51318440,fine_gravel,,footway,
51318441,fine_gravel,,footway,
51318442,fine_gravel,,footway,
51318443,fine_gravel,,footway,
51318444,fine_gravel,,footway,
51318453,fine_gravel,,footway,
51318457,fine_gravel,,footway,
51318462,fine_gravel,,footway,
51318463,fine_gravel,,footway,
51318464,fine_gravel,,footway,
51318465,fine_gravel,,footway,
51318466,fine_gravel,,footway,
51318467,fine_gravel,,footway,
51318468,fine_gravel,,footway,
51318469,fine_gravel,,footway,
51318470,fine_gravel,,footway,
51318471,fine_gravel,,footway,
51318472,fine_gravel,,footway,
51318473,fine_gravel,,footway,
51318474,fine_gravel,,footway,
51318475,fine_gravel,,footway,
51318476,fine_gravel,,footway,
51318477,fine_gravel,,footway,
51318480,fine_gravel,,footway,
51318481,compacted,,steps,
51318482,compacted,,steps,
51318483,compacted,,footway,
51318484,compacted,,steps,
51318485,fine_gravel,,footway,
51318487,fine_gravel,,footway,
51318490,fine_gravel,,footway,
51318493,compacted,,steps,
51318495,fine_gravel,,footway,
51318496,fine_gravel,,footway,
51318498,fine_gravel,,footway,
51318499,fine_gravel,,footway,
51318500,fine_gravel,,footway,
51318501,fine_gravel,,footway,
51318502,fine_gravel,,footway,
51318504,fine_gravel,,footway,
51318505,fine_gravel,,footway,
51327571,unpaved,,primary,京都日吉美山線
51341747,ground,,footway,
51397619,gravel,,service,
51398139,dirt,,service,
51413817,ground,,service,
51474132,gravel,grade2,tertiary,
51537043,gravel,grade5,path,
51552739,gravel,,track,
51760272,gravel,,path,
51811846,gravel,,footway,遊歩道
51865919,unpaved,,residential,
52162185,unpaved,,path,
52248798,gravel,grade3,path,
52250636,gravel,,residential,
52253825,ground,,path,
52326774,gravel,grade2,track,
52328067,,grade3,track,
52349953,dirt,,track,
